Titre,Note,Prix,Moniteur_Taille_ecran_(pouces),Moniteur_Equivalence_(cm),Moniteur_Resolution_ecran_(pixels),Logiciels_Systeme_exploitation,Logiciels_Version_(Bits),Processeur_Reference,Memoire_vive_Capacite_totale_(Go),Memoire_vive_Type,Stockage_Capacite_disque_dur_(Go),Stockage_Port_disque_dur,Stockage_Vitesse_rotation(tours/min),Stockage_Capacite_SSD_(Go),Stockage_Port_SSD,Dimensions_l_x_h_x_p_(cm),Dimensions_Poids_(g),Carte_video
PC Gamer Asus Pack TUF765GM-EV116T,4.7,1399.0,17.3,43.9,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,8.0,DDR4,1000.0,S-ATA,5400.0,256.0,PCI Express,2.76 x 39.9 x 27.9,2700.0,NVIDIA GeForce GTX1060 avec 6 Go GDDR5
Ordinateur portable Lenovo YOGA C930-13IKB-577,4.0,2199.0,13.9,35.3,3840 x 2160,Windows 10,64.0,Intel Core i7-8550U,16.0,DDR4,,,,1000.0,NvMe PCI Express,22.7 x 32.2 x 1.45,1400.0,
Ordinateur portable Lenovo YOGA 730-13IWL-544,,1299.0,13.3,33.8,1920 x 1080,Windows 10,64.0,Intel Core i7 8565U,8.0,DDR4,,,,512.0,,21.63 x 30.68 x 1.39,1100.0,
Ordinateur portable HP Pavillon x360 14-cd0011nf,4.0,949.0,14.0,35.6,1366 x 768,Windows 10,64.0,Intel Core i7-8550U,8.0,DDR4 SDRAM,1000.0,S-ATA,5400.0,128.0,M.2,32.35 x 1.97 x 22.42,1700.0,NVIDIA GeForce MX130 avec 4 Go DDR3
"Ordinateur portable Huawei Matebook X Pro 13.9"" touch I7 Gris",4.9,1499.99,13.9,35.3,3000 x 2000,Windows 10,64.0,Intel Core i7-8550U,8.0,LPDDR3,,,,512.0,NvMe PCI Express,30.4 x 1.46 x 21.7,1300.0,NVIDIA GeForce MX 150
Ordinateur portable Acer Swift SF514-52T-80TF,4.3,999.0,14.0,35.6,1920 x 1080,Windows 10,64.0,Intel Core i7-8550U,8.0,DDR3,,,,256.0,PCI Express,32.9 x 1.49 x 22.8,970.0,
Ordinateur portable Acer Aspire A517-51G-86KE,5.0,999.0,17.3,43.9,1600 x 900,Windows 10,64.0,Intel Core i7-8550U,8.0,DDR4,1000.0,,,128.0,,42.33 x 2.82 x 28.99,3000.0,NVIDIA GeForce MX 150 avec 2 GO
Ordinateur portable HP Envy 13-ah0001nf,4.7,998.86,13.3,33.8,1920 x 1080,Windows 10,64.0,Intel Core i7-8550U,8.0,LPDDR3 SDRAM,,,,256.0,PCI Express,21.2 x 1.49 x 30.7,1300.0,
Ordinateur portable Asus ZenBook Pro BE038T,4.0,1299.0,14.0,35.6,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,8.0,DDR4,,,,256.0,SATA,1.79 x 32.3 x 22.5,1600.0,NVIDIA GeForce GTX1050 avec 2 Go
Ordinateur portable HP Spectre x360 13-ae019nf,4.1000000000000005,1299.0,13.3,33.8,1920 x 1080,Windows 10,64.0,Intel Core i7-8550U,8.0,LPDDR3 SDRAM,,,,256.0,PCI Express,21.8 x 1.36 x 30.6,1300.0,
